,Year,coder1-encodings,Consistency,X,Y
146,2010,Surface/Volume,1,26,4
147,2010,Surface/Volume,1,28,4
148,2010,Surface/Volume,1,30,4
149,2010,Surface/Volume,1,32,4
150,2010,Surface/Volume,1,34,4
151,2010,Surface/Volume,1,36,4
152,2010,Surface/Volume,1,38,4
153,2010,Surface/Volume,1,40,4
154,2010,Surface/Volume,1,42,4
155,2010,Surface/Volume,1,44,4
156,2010,Surface/Volume,1,46,4
157,2010,Surface/Volume,1,48,4
158,2010,Surface/Volume,1,50,4
159,2010,Surface/Volume,1,52,4
160,2010,Surface/Volume,1,54,4
161,2010,Surface/Volume,1,56,4
162,2010,Surface/Volume,1,58,4
163,2010,Surface/Volume,1,60,4
164,2010,Surface/Volume,1,62,4
165,2010,Surface/Volume,1,64,4
166,2010,Surface/Volume,1,0,5
167,2010,Surface/Volume,1,2,5
168,2010,Surface/Volume,1,4,5
169,2010,Surface/Volume,1,6,5
170,2010,Surface/Volume,1,8,5
171,2010,Surface/Volume,1,10,5
172,2010,Surface/Volume,1,12,5
173,2010,Surface/Volume,1,14,5
174,2010,Surface/Volume,1,16,5
175,2010,Surface/Volume,1,18,5
176,2010,Surface/Volume,1,20,5
177,2010,Surface/Volume,1,22,5
178,2010,Surface/Volume,1,24,5
179,2010,Surface/Volume,1,26,5
180,2010,Surface/Volume,1,28,5
181,2010,Surface/Volume,1,30,5
182,2010,Surface/Volume,1,32,5
183,2010,Surface/Volume,1,34,5
184,2010,Surface/Volume,1,36,5
185,2010,Surface/Volume,1,38,5
186,2010,Surface/Volume,1,40,5
187,2010,Surface/Volume,1,42,5
188,2010,Surface/Volume,1,44,5
189,2010,Surface/Volume,1,46,5
190,2010,Surface/Volume,1,48,5
191,2010,Surface/Volume,1,50,5
192,2010,Surface/Volume,1,52,5
193,2010,Surface/Volume,1,54,5
194,2010,Surface/Volume,1,56,5
195,2010,Surface/Volume,1,58,5
196,2010,Surface/Volume,1,60,5
197,2010,Surface/Volume,1,62,5
198,2010,Surface/Volume,1,64,5
199,2010,Surface/Volume,1,0,6
200,2010,Surface/Volume,1,2,6
201,2010,Surface/Volume,1,4,6
202,2010,Surface/Volume,1,6,6
203,2010,Surface/Volume,1,8,6
204,2010,Surface/Volume,1,10,6
205,2010,Surface/Volume,1,12,6
206,2010,Surface/Volume,1,14,6
207,2010,Surface/Volume,1,16,6
208,2010,Surface/Volume,1,18,6
209,2010,Surface/Volume,1,20,6
210,2010,Surface/Volume,1,22,6
211,2010,Surface/Volume,1,24,6
212,2010,Surface/Volume,1,26,6
213,2010,Surface/Volume,1,28,6
214,2010,Surface/Volume,1,30,6
215,2010,Surface/Volume,1,32,6
216,2010,Surface/Volume,1,34,6
217,2010,Surface/Volume,1,36,6
218,2010,Surface/Volume,1,38,6
219,2010,Surface/Volume,1,40,6
220,2010,Surface/Volume,1,42,6
221,2010,Surface/Volume,1,44,6
222,2010,Surface/Volume,1,46,6
223,2010,Surface/Volume,1,48,6
224,2010,Surface/Volume,1,50,6
