,Year,coder1-encodings,Consistency,X,Y
1268,2015,Point,1,708,1
1269,2015,Point,1,709,1
1270,2015,Point,1,710,2
1271,2015,Point,1,711,2
1272,2015,Point,1,712,2
1273,2015,Point,1,713,2
1274,2015,Point,1,714,2
1275,2015,Point,1,715,2
1276,2015,Point,1,716,2
1277,2015,Point,1,717,2
1278,2015,Point,1,718,2
1279,2015,Point,1,719,2
1280,2015,Point,1,720,2
1281,2015,Point,1,721,2
1282,2015,Point,1,722,2
1283,2015,Point,1,723,2
1284,2015,Point,1,724,2
1285,2015,Point,1,725,2
1286,2015,Point,1,726,2
1287,2015,Point,1,727,2
1288,2015,Point,1,728,2
1289,2015,Point,1,729,2
1290,2015,Point,1,730,2
1291,2015,Point,1,731,2
1292,2015,Point,1,732,2
1293,2020,Point,0,733,2
1294,2020,Point,0,734,2
1295,2020,Point,0,735,2
1296,2020,Point,0,736,2
1297,2020,Point,0,737,2
1298,2020,Point,0,738,2
1299,2020,Point,0,739,2
1300,2020,Point,0,690,2
1301,2020,Point,0,691,2
1302,2020,Point,0,692,2
1303,2020,Point,0,693,2
1304,2020,Point,0,694,2
1305,2020,Point,0,695,2
1306,2020,Point,1,696,2
1307,2020,Point,1,697,2
1308,2020,Point,1,698,2
1309,2020,Point,1,699,2
1310,2020,Point,1,700,2
1311,2020,Point,1,701,2
1312,2020,Point,1,702,2
1313,2020,Point,1,703,2
1314,2020,Point,1,704,2
1315,2020,Point,1,705,2
1316,2020,Point,1,706,2
1317,2020,Point,1,707,2
1318,2020,Point,1,708,2
1319,2020,Point,1,709,2
1320,2020,Point,1,710,3
1321,2020,Point,1,711,3
1322,2020,Point,1,712,3
1323,2020,Point,1,713,3
1324,2020,Point,1,714,3
1325,2020,Point,1,715,3
1326,2020,Point,1,716,3
1327,2020,Point,1,717,3
1328,2020,Point,1,718,3
1329,2020,Point,1,719,3
1330,2020,Point,1,720,3
1331,2020,Point,1,721,3
1332,2020,Point,1,722,3
1333,2020,Point,1,723,3
1334,2020,Point,1,724,3
1335,2020,Point,1,725,3
1336,2020,Point,1,726,3
1337,2020,Point,1,727,3
1338,2020,Point,1,728,3
1339,2020,Point,1,729,3
1340,2020,Point,1,730,3
1341,2020,Point,1,731,3
1342,2020,Point,1,732,3
1343,2020,Point,1,733,3
1344,2020,Point,1,734,3
1345,1990,Surface/Volume,1,789,0
1346,1990,Surface/Volume,1,835,0
1347,1990,Surface/Volume,1,836,0
1348,1990,Surface/Volume,1,837,0
1349,1990,Surface/Volume,1,838,0
1350,1990,Surface/Volume,1,789,0
1351,1990,Surface/Volume,1,790,0
1352,1990,Surface/Volume,1,791,0
1353,1990,Surface/Volume,1,792,0
1354,1990,Surface/Volume,1,793,0
1355,1990,Surface/Volume,1,794,0
1356,1990,Surface/Volume,1,795,0
1357,1990,Surface/Volume,1,796,0
1358,1990,Surface/Volume,1,797,0
1359,1990,Surface/Volume,1,798,0
1360,1990,Surface/Volume,1,799,0
1361,1990,Surface/Volume,1,800,0
1362,1990,Surface/Volume,1,801,0
1363,1990,Surface/Volume,1,802,0
1364,1990,Surface/Volume,1,803,0
1365,1990,Surface/Volume,1,804,0
1366,1990,Surface/Volume,1,805,0
1367,1990,Surface/Volume,1,806,0
1368,1990,Surface/Volume,1,807,0
1369,1990,Surface/Volume,1,808,0
1370,1990,Surface/Volume,1,809,0
1371,1990,Surface/Volume,1,810,0
1372,1990,Surface/Volume,1,811,0
1373,1990,Surface/Volume,1,812,0
1374,1990,Surface/Volume,1,813,0
1375,1990,Surface/Volume,1,814,0
1376,1990,Surface/Volume,1,815,0
1377,1990,Surface/Volume,1,816,0
1378,1990,Surface/Volume,1,817,0
1379,1990,Surface/Volume,1,818,0
