,image_id,CFixationPointXImage,CFixationPointYImage,GazeEventDuration
4893,C33,16272.34292,40293.86336,217
4894,C33,16733.44737,40430.46288,375
4895,C33,16733.44737,40441.84617,258
4896,C33,22398.23083,40047.98422,117
4897,C33,19513.67647,39103.65016,67
4898,C33,17816.129,38631.48312,308
4899,C33,8958.24968,42689.56734,442
4900,C33,11938.32067,48883.87636,250
4901,C33,12385.04369,49011.48908,83
4902,C33,12423.33424,49164.62433,67
4903,C33,20055.91613,49126.34052,267
4904,C33,20132.49722,49100.81797,117
4905,C33,25268.94307,49393.90783,117
4906,C33,26292.2414,52586.682,442
4907,C33,24836.60148,52441.15558,358
4908,C33,33019.75226,54570.0112,158
4909,C33,41188.40177,52441.93444,225
4910,C33,39376.3422,47754.414,483
4911,C33,58072.19496,41876.02133,342
4912,C33,55181.82811,26975.76945,250
4913,C33,77962.00563,28701.23709,283
4914,C33,85425.9653,27795.36658,125
4915,C33,92242.76085,17917.06431,133
4916,C33,68211.39934,30728.66157,267
4917,C33,54060.07694,30469.84143,408
4918,C33,73890.71403,36199.3526,375
4919,C33,79181.73025,38111.26661,325
4920,C33,64491.10441,44193.54006,150
4921,C33,54265.91109,65222.67699,250
4922,C33,47082.3892,65805.02232,158
4923,C33,37245.49437,62440.36041,183
4924,C33,27473.31594,62116.83523,467
4925,C33,113093.1309,20317.38152,158
4926,C33,25596.53995,67487.35327,317
4927,C33,20936.95819,62958.0007,300
4928,C33,16924.54056,63928.57625,175
4929,C33,19448.48068,49369.943,317
4930,C33,22684.30135,45811.16598,158
4931,C33,28638.21138,45358.23072,175
4932,C33,31874.03205,42575.91414,192
4933,C33,32003.46488,39858.3026,317
4934,C33,43069.97157,34228.96441,208
4935,C33,46629.37431,31640.76294,242
4936,C33,49088.59802,29570.20177,200
4937,C33,48506.1503,27693.7557,192
4938,C33,46888.23996,25882.01468,192
4939,C33,54848.35881,31187.82769,142
4940,C33,60413.97036,38305.38172,275
4941,C33,62096.59711,41734.74867,333
4942,C33,65785.43268,41346.51845,158
4943,C33,66885.6117,32417.22338,175
4944,C33,70962.74575,30799.59747,200
4945,C33,77046.08861,28017.28089,167
4946,C33,86106.38648,27887.87081,300
4947,C33,89083.3415,26982.0003,167
4948,C33,99308.53482,35264.245,367
4949,C33,100279.281,32546.63346,175
4950,C33,101767.7585,38758.31698,208
4951,C33,94519.52023,44322.95013,167
4952,C33,84747.3418,48787.59767,200
